id,model,trim,year,price_usd,mileage_km,fuel_type,transmission,engine_liters,horsepower,color,body_type,region,owner_count,condition,service_history
1269,E-Class,Luxury,2010,66368,168675,Hybrid,Automatic,1.6,178,Blue,Sedan,Asia Pacific,1,Like New,No
1270,C-Class,Premium,2010,63546,147696,Plug-in Hybrid,Automatic,3.5,418,Gold,Coupe,Asia Pacific,2,Very Good,Yes
1271,A-Class,Premium,2012,73075,125400,Petrol,Manual,2.8,581,Blue,Wagon,North America,2,New,No
1272,AMG GT,Premium,2009,115035,140429,Diesel,Manual,2.3,170,Red,Coupe,Middle East,4,Very Good,Yes
1273,GLA,Premium,2018,56354,45316,Diesel,Automatic,5.6,212,Silver,Coupe,Europe,2,Like New,No
1274,GLA,Avantgarde,2013,32361,211106,Hybrid,Manual,4.8,149,Green,Roadster,Middle East,1,Good,Yes
1275,CLA,AMG Line,2013,26886,74355,Diesel,Manual,5.3,133,Gray,Coupe,Africa,1,Fair,Yes
1276,C-Class,Sport,2019,49792,193000,Hybrid,Manual,3.8,390,Red,Sedan,Africa,2,Fair,Yes
1277,E-Class,Premium,2009,55040,71568,Hybrid,Automatic,6.7,136,Blue,Liftback,Europe,4,Good,Yes
1278,CLA,Luxury,2014,65425,192612,Plug-in Hybrid,Manual,3.6,583,Green,Coupe,Africa,3,Good,Yes
1279,EQB,Night Edition,2020,88849,52968,Electric,Automatic,0,482,Beige,SUV,Asia Pacific,2,Good,Yes
1280,A-Class,Premium Plus,2010,35899,177803,Diesel,Automatic,5.7,359,Green,Convertible,Asia Pacific,2,Very Good,No
1281,GLC,AMG Line,2017,51723,190694,Petrol,Automatic,2.5,112,Black,Coupe,Latin America,3,Like New,Yes
1282,EQA,Night Edition,2025,92553,154054,Electric,Automatic,0,550,Beige,SUV,Europe,1,Good,No
1283,A-Class,AMG Line,2015,33925,166314,Hybrid,Manual,1.9,119,Red,Liftback,Latin America,4,Excellent,Yes
1284,C-Class,Premium,2022,81827,14403,Diesel,Automatic,5,433,Beige,Wagon,Africa,4,New,No
1285,S-Class,Premium Plus,2010,112371,137334,Diesel,Manual,4.5,381,Black,SUV,Africa,3,New,Yes
1286,EQA,Avantgarde,2010,77297,74359,Electric,Automatic,0,437,Silver,Sedan,Asia Pacific,2,Very Good,No
1287,GLS,Luxury,2020,142961,168323,Plug-in Hybrid,Manual,2.7,562,White,SUV,Europe,1,New,Yes
1288,GLC,Sport,2021,66873,93752,Diesel,Automatic,2.3,469,Silver,Wagon,Middle East,3,Fair,Yes
1289,EQA,Exclusive,2017,70530,73861,Electric,Automatic,0,270,Gold,SUV,Asia Pacific,4,Good,No
1290,C-Class,Exclusive,2021,78815,94794,Plug-in Hybrid,Manual,6.9,491,Silver,Liftback,Middle East,4,Very Good,No
1291,C-Class,Luxury,2011,70749,54838,Diesel,Automatic,2.4,549,Beige,Liftback,Europe,1,Like New,No
1292,GLC,Night Edition,2016,71343,38657,Petrol,Manual,3.8,519,Silver,Roadster,Latin America,3,Fair,No
1293,S-Class,Night Edition,2018,112692,149529,Hybrid,Manual,1.3,445,Gold,SUV,Europe,3,Very Good,Yes
1294,EQB,Night Edition,2020,90830,43740,Electric,Automatic,0,211,Brown,SUV,North America,3,New,Yes
1295,GLA,Exclusive,2009,69414,221638,Hybrid,Manual,3.2,591,White,Convertible,Europe,3,Like New,Yes
1296,C-Class,Sport,2013,40665,102985,Hybrid,Automatic,6.6,229,Blue,Liftback,Europe,1,Fair,No
1297,S-Class,Premium,2025,141577,66418,Hybrid,Manual,4.5,446,Silver,SUV,Asia Pacific,2,New,No
1298,A-Class,Base,2023,72965,93209,Diesel,Manual,2.3,520,Beige,Liftback,Middle East,2,New,No
1299,GLB,Exclusive,2021,66709,183946,Diesel,Automatic,5,598,Silver,Liftback,Europe,4,Very Good,Yes
1300,GLA,Exclusive,2024,74609,73511,Petrol,Automatic,5.4,502,Gold,Roadster,Latin America,4,Excellent,No
1301,CLA,Avantgarde,2020,58959,123801,Hybrid,Manual,4.2,462,Gold,Coupe,Middle East,3,Fair,Yes
1302,GLB,Exclusive,2016,41719,205619,Hybrid,Manual,2.7,161,Gold,Wagon,Latin America,2,Very Good,No
1303,GLB,Luxury,2016,69765,169245,Plug-in Hybrid,Manual,6.3,492,Gold,Hatchback,Latin America,1,Good,Yes
1304,CLA,Exclusive,2014,20040,190669,Diesel,Automatic,3.1,198,Black,Coupe,North America,2,Fair,No
1305,S-Class,AMG Line,2011,97348,145218,Petrol,Automatic,5.5,303,Blue,SUV,Asia Pacific,1,Very Good,Yes
1306,E-Class,Premium,2021,79841,41723,Diesel,Automatic,6.4,547,Green,Coupe,Europe,3,Fair,No
1307,GLB,Premium Plus,2008,53004,212425,Plug-in Hybrid,Automatic,6.9,315,Brown,SUV,North America,2,Excellent,No
1308,B-Class,Premium Plus,2019,71343,123533,Plug-in Hybrid,Manual,1.9,554,Gray,SUV,Middle East,4,Good,Yes
1309,EQA,AMG Line,2008,61395,224396,Electric,Automatic,0,411,Beige,Sedan,Europe,4,Good,Yes
1310,CLA,Premium Plus,2022,85156,64425,Diesel,Automatic,4.4,503,Black,Coupe,Latin America,3,New,Yes
1311,GLB,Avantgarde,2010,66335,62846,Petrol,Manual,4.7,417,Brown,Liftback,Asia Pacific,4,Like New,No
1312,EQB,Base,2011,79129,63420,Electric,Automatic,0,251,Silver,SUV,Asia Pacific,1,Excellent,Yes
1313,GLC,Night Edition,2012,59182,163275,Diesel,Automatic,1.5,373,Gold,Liftback,Africa,3,Very Good,No
1314,A-Class,Premium Plus,2013,57795,76324,Hybrid,Automatic,2.6,452,Black,Roadster,Africa,3,Excellent,No
1315,GLS,Premium,2022,104864,184654,Petrol,Manual,3.1,411,Gold,SUV,Latin America,1,Good,Yes
1316,CLA,Sport,2009,44351,60613,Diesel,Automatic,3.6,184,Blue,Coupe,Europe,3,Like New,No
1317,E-Class,Premium Plus,2022,94066,72165,Petrol,Manual,1.8,362,Black,Coupe,Latin America,4,New,Yes
1318,EQC,Avantgarde,2008,82087,137671,Electric,Automatic,0,303,Red,Sedan,Middle East,3,Excellent,No
1319,GLC,Avantgarde,2010,56370,196623,Plug-in Hybrid,Manual,3.3,184,Silver,SUV,Asia Pacific,1,Excellent,Yes
1320,GLA,Base,2010,68239,146679,Hybrid,Manual,3.5,357,Brown,Coupe,Middle East,4,New,Yes
1321,GLS,Luxury,2015,107643,139942,Diesel,Manual,3.1,235,Blue,SUV,Latin America,2,New,No
1322,B-Class,Exclusive,2022,69101,159883,Plug-in Hybrid,Manual,6.7,618,Green,Sedan,Latin America,2,Fair,Yes
1323,EQA,Sport,2014,86031,156782,Electric,Automatic,0,504,Blue,Sedan,Latin America,2,Like New,No
1324,EQB,Base,2008,51831,178712,Electric,Automatic,0,254,Green,SUV,North America,2,Fair,Yes
1325,GLS,Exclusive,2021,92584,178815,Hybrid,Automatic,3.7,138,Green,SUV,Asia Pacific,3,Very Good,No
1326,E-Class,Luxury,2023,93919,19776,Plug-in Hybrid,Manual,6.4,485,Beige,Liftback,Latin America,4,Fair,No
1327,S-Class,Luxury,2024,151639,59882,Plug-in Hybrid,Manual,5.6,629,Gray,SUV,Middle East,4,Like New,Yes
1328,E-Class,Sport,2016,89491,205783,Hybrid,Automatic,4.2,497,Brown,Liftback,Latin America,3,Like New,Yes
1329,EQC,AMG Line,2015,78891,146337,Electric,Automatic,0,318,Black,Sedan,Latin America,2,Good,No
1330,EQB,Premium,2013,66930,214603,Electric,Automatic,0,266,Gray,SUV,Middle East,2,Excellent,Yes
1331,EQA,Sport,2022,106608,39512,Electric,Automatic,0,467,Gray,SUV,North America,1,New,No
1332,GLA,Luxury,2012,59222,89153,Hybrid,Automatic,2.5,391,Silver,Convertible,Middle East,2,Excellent,Yes
1333,GLS,Exclusive,2012,110882,204903,Diesel,Manual,3.2,466,Green,SUV,Asia Pacific,2,Like New,Yes
1334,EQA,Exclusive,2020,80195,50922,Electric,Automatic,0,408,Gray,SUV,Africa,4,Good,No
1335,B-Class,Premium Plus,2017,49037,148471,Plug-in Hybrid,Automatic,4.8,336,Green,Wagon,Africa,4,Good,No
1336,B-Class,Base,2021,67645,195237,Petrol,Manual,4.8,630,Silver,Convertible,Latin America,4,Very Good,Yes
1337,E-Class,Exclusive,2016,78847,82056,Plug-in Hybrid,Automatic,4.3,443,White,Roadster,Europe,1,Fair,Yes
1338,GLA,AMG Line,2010,44200,129397,Hybrid,Automatic,6.5,300,Black,Roadster,Asia Pacific,3,Very Good,Yes
1339,EQC,Premium Plus,2015,83092,156553,Electric,Automatic,0,384,Gold,Sedan,Middle East,3,Good,Yes
1340,B-Class,Avantgarde,2022,51432,127232,Diesel,Automatic,2,380,Beige,SUV,Africa,2,Very Good,Yes
1341,B-Class,Premium Plus,2012,50199,193291,Hybrid,Manual,6.4,434,Green,SUV,Europe,3,Very Good,Yes
1342,S-Class,Base,2021,136396,61769,Diesel,Manual,4.5,627,Red,SUV,Africa,3,Like New,No
1343,E-Class,Sport,2020,80377,142565,Petrol,Manual,4.5,394,White,Wagon,Europe,1,Like New,Yes
1344,AMG GT,Luxury,2010,144975,139001,Plug-in Hybrid,Automatic,3,490,Green,Coupe,Asia Pacific,3,Good,Yes
1345,S-Class,Premium,2016,112108,41876,Diesel,Automatic,5.3,568,Brown,SUV,Latin America,1,Fair,No
1346,GLB,Avantgarde,2021,50626,123303,Diesel,Automatic,5.2,119,White,Liftback,Africa,3,Excellent,No
1347,C-Class,Exclusive,2009,54544,111726,Hybrid,Manual,4.8,370,Beige,Hatchback,Africa,4,Good,No
1348,GLA,Avantgarde,2017,36485,170541,Petrol,Manual,1.5,199,Black,Convertible,Middle East,3,Good,Yes
1349,CLA,Exclusive,2017,66126,192948,Plug-in Hybrid,Manual,6.8,328,Silver,Coupe,Asia Pacific,2,Like New,Yes
1350,GLC,Premium Plus,2016,42002,186342,Petrol,Manual,5,196,Gold,Sedan,Middle East,2,Fair,Yes
1351,EQB,Premium Plus,2014,80296,151708,Electric,Automatic,0,360,Silver,Sedan,North America,4,Excellent,No
1352,GLS,AMG Line,2016,124933,138766,Petrol,Automatic,2.3,420,Gold,SUV,Middle East,1,New,Yes
1353,GLS,AMG Line,2018,122183,120287,Diesel,Automatic,1.6,560,White,SUV,Africa,3,Excellent,No
1354,E-Class,Luxury,2015,86046,186062,Plug-in Hybrid,Manual,3.5,469,Gray,Convertible,Europe,2,Excellent,Yes
1355,GLS,Luxury,2024,104710,127275,Diesel,Manual,1.8,246,Beige,SUV,Middle East,3,Very Good,Yes
1356,EQB,AMG Line,2010,85036,122397,Electric,Automatic,0,349,Gray,SUV,Asia Pacific,3,Like New,Yes
1357,S-Class,Premium Plus,2011,102970,87437,Hybrid,Automatic,5.5,323,Brown,SUV,Europe,4,Good,Yes
1358,B-Class,Premium,2024,93795,52697,Plug-in Hybrid,Manual,4.2,561,Gold,Hatchback,Middle East,1,New,Yes
1359,EQC,Sport,2012,86246,106544,Electric,Automatic,0,368,Brown,Sedan,Africa,1,Very Good,No
1360,GLA,Avantgarde,2008,58934,229766,Plug-in Hybrid,Manual,2.7,537,Gold,Convertible,Europe,3,Good,Yes
1361,AMG GT,Avantgarde,2008,141616,74068,Hybrid,Manual,3,514,Gray,Coupe,Europe,1,Fair,Yes
1362,GLA,Premium Plus,2012,45294,72500,Diesel,Automatic,6,192,Gray,Convertible,Latin America,4,Like New,Yes
1363,E-Class,Premium,2010,100815,138194,Hybrid,Manual,3,602,White,Roadster,Middle East,4,New,No
1364,EQC,AMG Line,2019,92287,137107,Electric,Automatic,0,291,Blue,Sedan,Middle East,3,Excellent,Yes
1365,EQC,Luxury,2011,103248,76696,Electric,Automatic,0,614,Beige,Sedan,Latin America,3,Very Good,Yes
1366,EQB,Premium,2013,92138,105121,Electric,Automatic,0,439,Silver,Sedan,Europe,4,Like New,Yes
1367,EQA,Base,2025,96608,160576,Electric,Automatic,0,539,Gold,SUV,Africa,4,Excellent,No
1368,AMG GT,Sport,2022,152132,47425,Plug-in Hybrid,Automatic,2.6,221,Gold,Coupe,Latin America,4,Excellent,Yes
1369,GLE,Avantgarde,2010,87617,152910,Petrol,Manual,4.3,417,Beige,SUV,Latin America,1,Like New,No
1370,S-Class,Luxury,2017,96114,32671,Hybrid,Manual,4.6,159,Black,SUV,Europe,1,Good,No
1371,C-Class,Sport,2013,78446,67808,Plug-in Hybrid,Automatic,3.2,551,White,Wagon,Africa,3,Very Good,Yes
1372,EQB,Avantgarde,2025,101533,112863,Electric,Automatic,0,569,White,Sedan,Europe,2,Very Good,Yes
1373,GLB,Exclusive,2008,42727,130945,Petrol,Automatic,3.8,267,Green,Convertible,Europe,4,Good,Yes
1374,A-Class,Sport,2015,83475,67957,Plug-in Hybrid,Automatic,6.7,632,Red,SUV,North America,3,Like New,Yes
1375,GLC,Luxury,2021,76360,44852,Hybrid,Manual,2.7,405,White,Liftback,Middle East,3,Good,Yes
1376,B-Class,Exclusive,2022,65784,174874,Hybrid,Automatic,2.1,309,White,SUV,North America,1,New,Yes
1377,EQA,AMG Line,2023,86673,144941,Electric,Automatic,0,231,Silver,Sedan,North America,1,New,Yes
1378,EQB,Exclusive,2012,78593,166910,Electric,Automatic,0,544,Silver,SUV,Latin America,1,Good,No
1379,A-Class,Avantgarde,2019,53486,94596,Petrol,Manual,5.9,142,Green,Convertible,Africa,4,New,No
1380,C-Class,Base,2014,80801,203678,Plug-in Hybrid,Manual,4.3,530,Silver,Coupe,Asia Pacific,2,New,No
1381,S-Class,Base,2008,120941,209862,Hybrid,Manual,3.8,477,Red,SUV,Middle East,2,New,Yes
1382,GLA,Base,2022,89451,75692,Plug-in Hybrid,Automatic,5.8,603,Beige,Convertible,Asia Pacific,3,Excellent,No
1383,GLB,Exclusive,2025,51231,99080,Plug-in Hybrid,Manual,2.3,138,Gray,Roadster,Middle East,4,Fair,Yes
1384,GLA,Sport,2012,45587,189990,Diesel,Manual,5.8,493,Green,Sedan,North America,1,Good,Yes
1385,GLB,AMG Line,2018,62567,104286,Hybrid,Automatic,6.3,452,Gray,Liftback,Latin America,3,Fair,Yes
1386,EQA,Night Edition,2016,78832,110283,Electric,Automatic,0,547,Beige,SUV,Europe,4,Fair,Yes
1387,E-Class,Luxury,2023,102048,61546,Hybrid,Manual,4.1,457,Gold,Convertible,Asia Pacific,4,New,Yes
1388,GLE,Luxury,2022,115609,52197,Plug-in Hybrid,Automatic,6.1,543,Silver,SUV,Latin America,1,Excellent,Yes
1389,GLA,Base,2012,49560,169904,Diesel,Automatic,5.9,467,Silver,Hatchback,Africa,2,Good,Yes
1390,AMG GT,Premium Plus,2023,149541,183000,Plug-in Hybrid,Automatic,1.5,472,Black,Coupe,Middle East,4,Fair,No
1391,E-Class,Base,2022,78050,145918,Plug-in Hybrid,Automatic,5.2,198,White,Hatchback,Latin America,4,Like New,No
1392,EQA,AMG Line,2017,84887,144741,Electric,Automatic,0,465,White,Sedan,Middle East,4,Excellent,Yes
1393,CLA,AMG Line,2022,67254,36209,Plug-in Hybrid,Automatic,3.4,341,Black,Coupe,Africa,3,Good,No
1394,B-Class,Premium,2019,52958,58462,Plug-in Hybrid,Manual,5.2,163,Brown,Convertible,Africa,3,Very Good,Yes
1395,E-Class,Base,2013,48612,196635,Plug-in Hybrid,Automatic,3.3,154,Silver,Wagon,Latin America,4,Fair,Yes
1396,E-Class,Premium Plus,2018,82000,114751,Hybrid,Automatic,4.5,454,White,Liftback,North America,3,Very Good,Yes
1397,A-Class,Base,2018,35049,141055,Hybrid,Manual,1.6,240,Silver,SUV,Asia Pacific,3,Fair,No
1398,B-Class,Avantgarde,2015,28700,170244,Diesel,Automatic,3.8,232,Silver,Sedan,Asia Pacific,1,Good,Yes
1399,A-Class,AMG Line,2010,47297,172218,Plug-in Hybrid,Manual,1.8,477,Red,Liftback,Middle East,2,Fair,Yes
1400,EQA,Premium Plus,2014,76483,195134,Electric,Automatic,0,337,Beige,Sedan,Middle East,2,Like New,Yes
1401,CLA,Luxury,2017,69200,199433,Petrol,Manual,1.3,583,Beige,Coupe,Europe,4,Like New,Yes
1402,B-Class,Night Edition,2022,70502,183984,Diesel,Manual,3,613,Gold,Roadster,Latin America,1,Excellent,Yes
1403,EQA,Exclusive,2012,85447,58991,Electric,Automatic,0,409,Brown,Sedan,Middle East,1,Like New,Yes
1404,GLS,Premium Plus,2025,107177,122770,Petrol,Manual,2.5,237,Black,SUV,Africa,3,Very Good,Yes
1405,A-Class,Luxury,2009,32147,196346,Diesel,Automatic,2.1,331,Brown,Sedan,Asia Pacific,3,Very Good,No
1406,GLC,Luxury,2018,87181,146663,Diesel,Manual,1.3,525,Silver,Hatchback,Asia Pacific,4,New,Yes
1407,GLC,AMG Line,2025,59037,85704,Diesel,Automatic,2.7,142,Blue,SUV,Europe,2,Good,Yes
1408,AMG GT,AMG Line,2016,144284,111601,Plug-in Hybrid,Manual,2.7,264,Silver,Coupe,Africa,3,Very Good,Yes
1409,GLB,Premium,2015,52740,200355,Petrol,Automatic,2.7,212,Red,Liftback,Asia Pacific,2,Like New,Yes
1410,C-Class,Premium Plus,2016,66272,140094,Plug-in Hybrid,Manual,1.9,234,Gray,Coupe,North America,2,Like New,No
1411,B-Class,Premium Plus,2023,46057,122313,Hybrid,Manual,4.9,142,White,Coupe,North America,3,Excellent,Yes
1412,GLC,AMG Line,2021,78808,86132,Diesel,Manual,2.8,354,Green,Liftback,Europe,4,Like New,Yes
1413,GLE,Exclusive,2023,93740,72045,Petrol,Manual,4.5,608,Blue,SUV,North America,3,Fair,Yes
1414,E-Class,Luxury,2015,59126,208558,Petrol,Automatic,4.6,438,Blue,Wagon,Middle East,4,Fair,No
1415,GLE,Sport,2019,91982,26825,Diesel,Manual,2.5,463,Silver,SUV,Africa,4,Good,No
1416,AMG GT,Base,2025,159696,79152,Petrol,Automatic,3.7,392,Black,Coupe,Middle East,1,Excellent,Yes
1417,EQA,Premium,2024,95831,82612,Electric,Automatic,0,437,Black,Sedan,Africa,3,Like New,Yes
1418,A-Class,Avantgarde,2019,60545,196552,Plug-in Hybrid,Manual,5.6,577,White,Wagon,Europe,4,Fair,Yes
1419,B-Class,Premium,2019,68496,43920,Petrol,Automatic,5.8,277,Red,Roadster,Latin America,4,New,Yes
1420,S-Class,Sport,2015,117443,201973,Petrol,Automatic,6.3,358,Beige,SUV,Europe,1,New,Yes
1421,GLB,Base,2011,56831,231946,Hybrid,Automatic,1.9,578,Gray,Hatchback,Middle East,2,Fair,Yes
1422,A-Class,Luxury,2012,40099,89983,Plug-in Hybrid,Manual,3.7,263,Red,Convertible,Africa,3,Fair,No
1423,GLC,Premium,2017,67387,180790,Plug-in Hybrid,Manual,6.1,159,Blue,Liftback,North America,3,Like New,No
1424,GLE,Luxury,2017,53598,137473,Petrol,Automatic,2.5,138,Gold,SUV,Asia Pacific,2,Fair,Yes
1425,EQC,Base,2013,72340,153927,Electric,Automatic,0,354,Beige,SUV,Asia Pacific,1,Fair,Yes
1426,A-Class,Avantgarde,2024,44175,40144,Diesel,Manual,5.8,258,Green,Liftback,Middle East,3,Good,Yes
1427,GLB,Premium Plus,2016,54902,90771,Diesel,Manual,2.2,262,Green,Wagon,North America,3,Excellent,No
1428,S-Class,Base,2020,104584,142720,Diesel,Automatic,2,535,Brown,SUV,North America,3,Fair,Yes
1429,CLA,Luxury,2010,42186,114366,Petrol,Automatic,4,146,Gold,Coupe,Europe,3,Like New,Yes
1430,AMG GT,Luxury,2022,146872,181862,Petrol,Manual,4.2,455,Gray,Coupe,Europe,4,Good,Yes
1431,GLC,Night Edition,2020,75429,125606,Plug-in Hybrid,Manual,4.5,342,Silver,Sedan,North America,1,Good,No
1432,C-Class,Sport,2025,65548,25654,Diesel,Automatic,5.7,495,White,Sedan,Latin America,1,Fair,Yes
1433,EQC,Night Edition,2008,67230,190323,Electric,Automatic,0,399,Green,Sedan,Africa,1,Fair,No
1434,CLA,Base,2023,57231,168374,Hybrid,Automatic,6.1,397,Brown,Coupe,Africa,2,Good,No
1435,EQC,Sport,2018,85793,185222,Electric,Automatic,0,300,Silver,Sedan,Europe,1,Excellent,Yes
1436,GLS,AMG Line,2013,110030,207339,Hybrid,Automatic,5.9,557,Green,SUV,North America,3,Good,Yes
1437,EQB,Premium Plus,2019,64274,127804,Electric,Automatic,0,246,Blue,Sedan,Africa,1,Fair,Yes
1438,GLB,Exclusive,2022,63699,71582,Petrol,Manual,1.7,394,Gold,Convertible,Asia Pacific,1,Very Good,Yes
1439,EQB,Premium Plus,2011,90791,72552,Electric,Automatic,0,305,Silver,Sedan,Middle East,2,New,Yes
1440,C-Class,Premium,2018,63120,168466,Diesel,Automatic,5.5,303,Red,SUV,Europe,2,New,Yes
1441,EQB,AMG Line,2014,91289,180732,Electric,Automatic,0,452,Brown,SUV,Middle East,1,New,Yes
1442,B-Class,Exclusive,2008,47074,72130,Plug-in Hybrid,Manual,3.9,440,Gray,Liftback,Middle East,4,Fair,Yes
1443,GLS,Luxury,2010,111031,171168,Plug-in Hybrid,Manual,5.5,256,White,SUV,Europe,2,New,Yes
1444,S-Class,Base,2015,89598,149537,Diesel,Automatic,3.4,294,Black,SUV,Middle East,3,Fair,Yes
1445,EQB,Premium Plus,2017,83748,86218,Electric,Automatic,0,360,Gold,SUV,Latin America,2,Excellent,Yes
1446,CLA,Base,2024,58372,127627,Diesel,Manual,5,311,Black,Coupe,Europe,4,Like New,No
1447,EQB,Exclusive,2023,74087,115079,Electric,Automatic,0,337,Beige,Sedan,Asia Pacific,4,Fair,Yes
1448,GLS,Night Edition,2020,108992,22886,Hybrid,Manual,5,307,Silver,SUV,Europe,2,Good,Yes
1449,EQB,Premium Plus,2018,86219,192278,Electric,Automatic,0,333,Blue,Sedan,North America,3,Like New,Yes
1450,GLS,Premium Plus,2009,108656,160511,Hybrid,Automatic,6.1,618,Gray,SUV,Europe,4,Fair,Yes
1451,GLC,Night Edition,2012,75952,155570,Plug-in Hybrid,Automatic,6.8,380,Blue,Convertible,Europe,1,Like New,Yes
1452,C-Class,Avantgarde,2020,63490,121825,Plug-in Hybrid,Automatic,3.1,249,White,Sedan,Europe,1,Very Good,Yes
1453,EQC,AMG Line,2018,101328,152575,Electric,Automatic,0,416,Red,SUV,Africa,4,Like New,No
1454,B-Class,Night Edition,2013,46079,72506,Petrol,Manual,5.4,475,Red,Coupe,Asia Pacific,3,Fair,Yes
1455,EQC,Sport,2023,112175,23226,Electric,Automatic,0,534,Green,Sedan,Africa,2,Very Good,Yes
1456,GLC,Luxury,2012,55735,160382,Hybrid,Automatic,6.6,391,Blue,Coupe,North America,2,Fair,No
1457,E-Class,Base,2017,100954,43769,Petrol,Automatic,2.9,613,Red,Coupe,Africa,4,Like New,Yes
1458,CLA,AMG Line,2016,54061,146891,Diesel,Manual,3.8,284,Beige,Coupe,Asia Pacific,2,New,No
1459,GLC,Luxury,2025,88669,107230,Diesel,Automatic,3.5,561,Gray,Coupe,Asia Pacific,2,Excellent,Yes
1460,EQB,Luxury,2014,92882,115864,Electric,Automatic,0,423,Red,Sedan,North America,3,Like New,Yes
1461,GLS,Premium,2022,121436,14058,Hybrid,Automatic,2.6,320,White,SUV,Asia Pacific,4,Excellent,Yes
1462,A-Class,Exclusive,2008,45911,89887,Plug-in Hybrid,Automatic,6.8,256,Red,Hatchback,Latin America,4,Excellent,No
1463,S-Class,Exclusive,2015,97837,176811,Hybrid,Manual,6.6,128,Gold,SUV,Middle East,4,Excellent,No
1464,EQA,Luxury,2022,79550,55521,Electric,Automatic,0,419,Gray,SUV,Europe,3,Fair,Yes
1465,AMG GT,Avantgarde,2014,140511,78152,Diesel,Automatic,5.3,141,Green,Coupe,Latin America,2,New,Yes
1466,B-Class,Exclusive,2019,53054,85299,Hybrid,Automatic,1.5,300,Gold,Roadster,Africa,4,Very Good,Yes
1467,AMG GT,Base,2010,161629,128531,Plug-in Hybrid,Manual,5.5,474,Beige,Coupe,Latin America,2,Like New,Yes
1468,GLA,Exclusive,2008,28989,168935,Petrol,Manual,6.4,118,Beige,SUV,Latin America,3,Very Good,Yes
1469,E-Class,Premium,2017,63337,162004,Hybrid,Automatic,3.3,317,Blue,SUV,Asia Pacific,4,Good,No
1470,A-Class,Avantgarde,2014,69244,88777,Plug-in Hybrid,Manual,3.4,548,Red,Hatchback,North America,4,Very Good,Yes
1471,GLA,Base,2024,62350,178626,Plug-in Hybrid,Automatic,6.7,257,Beige,Roadster,Asia Pacific,1,Excellent,No
1472,B-Class,Luxury,2016,78239,36786,Hybrid,Automatic,3.9,599,White,Coupe,Latin America,2,Excellent,No
1473,GLB,AMG Line,2022,68942,104219,Diesel,Automatic,5.3,326,Beige,Roadster,North America,4,Like New,No
1474,E-Class,AMG Line,2017,85683,137973,Diesel,Automatic,1.6,615,Blue,Hatchback,Africa,2,Very Good,Yes
1475,GLE,Premium,2021,87416,144851,Plug-in Hybrid,Manual,2.5,177,Black,SUV,North America,2,Excellent,Yes
1476,AMG GT,Base,2025,171489,106996,Petrol,Automatic,6.7,436,Silver,Coupe,North America,4,New,Yes
1477,EQA,Base,2011,73651,130918,Electric,Automatic,0,484,Black,Sedan,Middle East,2,Very Good,Yes
1478,A-Class,Avantgarde,2010,47700,88862,Plug-in Hybrid,Automatic,2.8,207,White,Liftback,Africa,2,Excellent,No
1479,A-Class,Exclusive,2025,66401,52166,Hybrid,Automatic,2.4,303,Silver,Convertible,Middle East,1,Like New,Yes
1480,GLC,Premium Plus,2018,93379,49429,Diesel,Automatic,6.4,638,Blue,Wagon,Asia Pacific,4,Excellent,Yes
1481,C-Class,Premium Plus,2008,43919,225288,Hybrid,Automatic,2,254,Gold,Liftback,Latin America,3,Excellent,Yes
1482,A-Class,Sport,2008,76106,193275,Plug-in Hybrid,Automatic,5.6,598,Beige,Wagon,Africa,3,New,Yes
1483,GLC,Night Edition,2021,75311,133099,Petrol,Manual,4.1,447,Green,Wagon,Europe,1,Very Good,Yes
1484,AMG GT,Night Edition,2024,165171,93744,Diesel,Manual,6.7,608,White,Coupe,Latin America,4,Very Good,Yes
1485,A-Class,Exclusive,2016,20627,90729,Diesel,Manual,2.7,171,Blue,Liftback,Middle East,4,Fair,No
1486,AMG GT,AMG Line,2011,138895,67657,Diesel,Automatic,5.8,433,Brown,Coupe,Asia Pacific,2,Very Good,No
1487,GLE,Exclusive,2023,103808,144550,Hybrid,Manual,2.7,437,Blue,SUV,Asia Pacific,4,Like New,Yes
1488,EQC,Premium Plus,2012,92252,126180,Electric,Automatic,0,536,Beige,Sedan,Latin America,3,Good,Yes
1489,S-Class,Night Edition,2025,101052,168479,Diesel,Automatic,2.5,143,Beige,SUV,Middle East,3,Excellent,No
1490,EQA,Avantgarde,2009,74539,104564,Electric,Automatic,0,480,White,Sedan,Africa,1,Good,Yes
1491,B-Class,Sport,2015,45040,202688,Plug-in Hybrid,Manual,1.5,271,Blue,Sedan,Asia Pacific,3,Very Good,No
1492,GLA,Avantgarde,2015,61724,152457,Plug-in Hybrid,Manual,6.5,440,Brown,Convertible,North America,1,Very Good,Yes
1493,B-Class,Base,2021,49414,134778,Petrol,Manual,4.5,460,Gray,Coupe,Asia Pacific,2,Fair,Yes
1494,EQB,Premium Plus,2022,83825,58856,Electric,Automatic,0,204,Gray,Sedan,North America,1,Like New,No
1495,AMG GT,AMG Line,2020,151045,144166,Plug-in Hybrid,Automatic,2.5,326,White,Coupe,Europe,2,Very Good,No
1496,GLC,Night Edition,2021,96844,73388,Plug-in Hybrid,Manual,1.9,553,Black,Hatchback,Middle East,3,Very Good,Yes
1497,EQB,Exclusive,2019,99821,175257,Electric,Automatic,0,569,Red,Sedan,Latin America,4,Like New,No
